tt0000574,9,nm2421834,composer,""
tt0002130,8,nm1374692,composer,""
tt0002646,10,nm0004592,composer,""
tt0002844,9,nm0287628,composer,""
tt0003014,7,nm1972946,composer,""
tt0003419,8,nm0919054,composer,""
tt0003471,7,nm0137458,composer,""
tt0003489,9,nm3873742,composer,""
tt0003740,9,nm0563460,composer,""
tt0003740,10,nm0686205,composer,""
tt0004026,5,nm5215306,composer,""
tt0004066,6,nm0506621,composer,""
tt0004099,8,nm0236373,composer,""
tt0004099,9,nm0322096,composer,""
tt0004099,10,nm0696182,composer,""
tt0004457,9,nm0137458,composer,""
tt0004457,10,nm0322096,composer,""
tt0004635,8,nm1242185,composer,""
tt0004712,8,nm2293339,composer,""
tt0004838,9,nm10597556,composer,""
tt0004972,8,nm0106922,composer,""
tt0005078,8,nm0004592,composer,""
tt0005719,7,nm0092821,composer,""
tt0005916,8,nm0104506,composer,""
tt0005951,8,nm0556099,composer,""
tt0006206,6,nm0004592,composer,""
tt0006333,7,nm0003668,composer,""
tt0006333,8,nm2028512,composer,""
tt0006589,7,nm8362885,composer,""
tt0006617,9,nm0125762,composer,""
tt0006736,6,nm1529472,composer,""
tt0006753,9,nm1529472,composer,""
tt0006826,7,nm0006252,composer,""
tt0006886,7,nm0004592,composer,""
tt0007183,9,nm1703933,composer,""
tt0007755,7,nm1529472,composer,""
tt0008150,8,nm0299125,composer,""
tt0008395,9,nm0119753,composer,""
tt0008843,8,nm2368720,composer,""
tt0008891,8,nm3537768,composer,""
tt0008891,9,nm0006252,composer,""
tt0008930,7,nm2911617,composer,""
tt0009014,7,nm0506549,composer,""
tt0009062,6,nm0006310,composer,""
tt0009150,6,nm0638210,composer,""
tt0009356,7,nm0003668,composer,""
tt0009440,8,nm0332045,composer,""
tt0009737,8,nm3831508,composer,""
tt0009878,7,nm2078034,composer,""
tt0009878,8,nm0776169,composer,""
tt0009893,7,nm0204029,composer,""
tt0009893,8,nm0894382,composer,""
tt0009915,9,nm4738941,composer,""
tt0009976,8,nm1972946,composer,""
tt0010247,9,nm2443910,composer,""
tt0010267,8,nm1185225,composer,""
tt0010307,7,nm0004592,composer,""
tt0010323,8,nm0031350,composer,""
tt0010323,9,nm0005959,composer,""
tt0010323,10,nm0110640,composer,""
tt0010418,8,nm1257678,composer,""
tt0010456,7,nm0956802,composer,""
tt0010600,9,nm1413539,composer,""
tt0010726,7,nm2563774,composer,""
tt0010755,9,nm1305360,composer,""
tt0010953,8,nm1709549,composer,""
tt0010953,9,nm8071732,composer,""
tt0010962,8,nm0433638,composer,""
tt0010962,9,nm0485134,composer,""
tt0010962,10,nm1258682,composer,""
tt0010969,8,nm0420636,composer,""
tt0011000,8,nm0137458,composer,""
tt0011173,7,nm2280656,composer,""
tt0011237,8,nm0485134,composer,""
tt0011237,9,nm10670231,composer,""
tt0011237,10,nm0006272,composer,""
tt0011267,10,nm1988238,composer,""
tt0011371,7,nm0956802,composer,""
tt0011387,9,nm0442996,composer,""
tt0011387,10,nm1266538,composer,""
tt0011439,8,nm0675356,composer,""
tt0011440,6,nm0357165,composer,""
tt0011623,9,nm1529472,composer,""
tt0011647,7,nm1529472,composer,""
tt0011679,8,nm1972946,composer,""
tt0011742,8,nm0006130,composer,""
tt0011742,9,nm0390587,composer,""
tt0011833,8,nm1818632,composer,""
tt0011904,8,nm0534540,composer,""
tt0011909,8,nm0003668,composer,""
tt0012016,7,nm1972946,composer,""
tt0012016,8,nm8432614,composer,""
tt0012027,8,nm1320357,composer,""
tt0012122,7,nm0799007,composer,""
tt0012134,6,nm0301249,composer,""
tt0012136,8,nm1529472,composer,""
tt0012190,10,nm0002301,composer,""
tt0012249,10,nm0005959,composer,""
tt0012281,9,nm0485134,composer,""
tt0012313,8,nm0530595,composer,""
tt0012314,8,nm0530595,composer,""
tt0012334,9,nm1331117,composer,""
tt0012397,9,nm0141634,composer,""
tt0012397,10,nm0332045,composer,""
tt0012494,8,nm0005959,composer,""
tt0012494,9,nm0006272,composer,""
tt0012494,10,nm0771954,composer,""
tt0012532,8,nm0003668,composer,""
tt0012532,9,nm0332045,composer,""
tt0012532,10,nm0484266,composer,""
tt0012538,8,nm0452992,composer,""
tt0012538,9,nm2028512,composer,""
